日付,出来高,売買代金,全銘柄数,値付き,値上がり,変わらず,値下がり,比較不可
2017/5/31,1543765000,2010000000000 ,2016,2016,978,134,904,0
2017/5/30,1467414100,1920000000000 ,2016,2016,1354,131,531,0
2017/5/29,1908637300,2410000000000 ,2015,2015,1090,121,804,0
2017/5/28,2184630100,2720000000000 ,2015,2015,370,71,1574,0
2017/5/27,1964470000,2490000000000 ,2015,2015,630,98,1287,0
2017/5/26,2174255700,2660000000000 ,2015,2015,1130,118,767,0
2017/5/25,2155777800,2650000000000 ,2015,2015,854,104,1057,0
2017/5/24,2248621900,2960000000000 ,2015,2015,734,141,1140,0
2017/5/23,2292024100,2790000000000 ,2015,2015,979,159,877,0
2017/5/22,2169890200,2780000000000 ,2015,2015,1044,166,805,0
2017/5/21,1990906000,2610000000000 ,2015,2015,918,147,950,0
2017/5/20,2408081900,3440000000000 ,2015,2015,1875,32,108,0
2017/5/19,1862946100,2270000000000 ,2016,2016,1487,93,436,0
2017/5/18,1760864400,2220000000000 ,2016,2016,1337,108,571,0
2017/5/17,1996538700,2550000000000 ,2016,2016,697,83,1236,0
2017/5/16,1970209000,2460000000000 ,2016,2016,1219,125,672,0
2017/5/15,2035538300,2510000000000 ,2015,2015,1655,65,295,0
2017/5/14,1948687800,2300000000000 ,2016,2016,1633,78,305,0
2017/5/13,1921192400,2120000000000 ,2016,2016,1534,101,381,0
2017/5/12,1862446500,2240000000000 ,2016,2016,1645,83,288,0
2017/5/11,1841068300,2160000000000 ,2015,2015,1091,132,792,0
2017/5/10,1952919200,2320000000000 ,2015,2015,1043,152,820,0
2017/5/9,1575221200,1770000000000 ,2015,2015,1494,106,415,0
2017/5/8,1454296600,1630000000000 ,2015,2015,1395,109,511,0
2017/5/7,1838858400,2020000000000 ,2015,2015,359,97,1559,0
2017/5/6,1958683400,2260000000000 ,2015,2015,543,98,1374,0
2017/5/5,1924076000,2210000000000 ,2015,2015,221,70,1722,2
2017/5/4,1691179900,1860000000000 ,2013,2012,504,124,1384,1
2017/5/3,1732345800,1930000000000 ,2013,2013,1405,104,504,0
2017/5/2,2401458900,2770000000000 ,2013,2013,1475,107,430,1
2017/5/1,2068305000,2460000000000 ,2012,2011,73,18,1920,1
