日付,出来高,売買代金,全銘柄数,値付き,値上がり,変わらず,値下がり,比較不可
2017/6/20,1836540200,2520000000000 ,2020,2020,1532,99,389,0
2017/6/19,1484695300,1990000000000 ,2020,2020,1414,97,508,1
2017/6/16,2285563200,3190000000000 ,2019,2018,1237,129,652,1
2017/6/15,1881927100,2480000000000 ,2019,2019,817,139,1063,0
2017/6/14,1701275800,2210000000000 ,2018,2018,774,162,1082,0
2017/6/13,1614382200,2120000000000 ,2018,2018,1106,164,748,0
2017/6/12,1785764400,2310000000000 ,2018,2018,896,142,980,0
2017/6/9,2263877000,3200000000000 ,2018,2018,903,133,982,0
2017/6/8,1983758200,2530000000000 ,2017,2017,698,121,1198,0
2017/6/7,1718170300,2320000000000 ,2017,2017,1150,174,693,0
2017/6/6,1704827900,2470000000000 ,2017,2017,292,90,1635,0
2017/6/5,1648113000,2380000000000 ,2017,2017,829,118,1070,0
2017/6/2,2315126600,3220000000000 ,2017,2017,1509,88,420,0
2017/6/1,1738305000,2470000000000 ,2017,2017,1620,88,309,0
2017/5/31,2018985800,3020000000000 ,2016,2016,622,112,1282,0
2017/5/30,1326038200,1880000000000 ,2016,2016,1092,173,751,0
2017/5/29,1274532100,1790000000000 ,2016,2016,933,138,945,0
2017/5/26,1563612200,2160000000000 ,2016,2016,379,99,1538,0
2017/5/25,1677279100,2220000000000 ,2016,2016,817,160,1039,0
2017/5/24,1728231600,2220000000000 ,2016,2016,1427,123,466,0
2017/5/23,1543765000,2010000000000 ,2016,2016,978,134,904,0
2017/5/22,1467414100,1920000000000 ,2016,2016,1354,131,531,0
2017/5/19,1908637300,2410000000000 ,2015,2015,1090,121,804,0
2017/5/18,2184630100,2720000000000 ,2015,2015,370,71,1574,0
2017/5/17,1964470000,2490000000000 ,2015,2015,630,98,1287,0
2017/5/16,2174255700,2660000000000 ,2015,2015,1130,118,767,0
2017/5/15,2155777800,2650000000000 ,2015,2015,854,104,1057,0
2017/5/12,2248621900,2960000000000 ,2015,2015,734,141,1140,0
2017/5/11,2292024100,2790000000000 ,2015,2015,979,159,877,0
2017/5/10,2169890200,2780000000000 ,2015,2015,1044,166,805,0
2017/5/9,1990906000,2610000000000 ,2015,2015,918,147,950,0
2017/5/8,2408081900,3440000000000 ,2015,2015,1875,32,108,0
2017/5/2,1862946100,2270000000000 ,2016,2016,1487,93,436,0
2017/5/1,1760864400,2220000000000 ,2016,2016,1337,108,571,0
2017/4/28,1996538700,2550000000000 ,2016,2016,697,83,1236,0
